Model,RMSE,MAE,R²,MAPE (%)
Gradient Boosting,13.491523286907606,3.663296047932494,0.9969352464235545,14.356933926160274
Random Forest,27.50321035364391,6.496696072831491,0.9872637854383368,12.884313778604922
Ridge Regression,80.51394359682018,65.65293203722835,0.8908519995593387,37.13663315040061
Linear Regression,194.49025017612837,165.70248311279278,0.3631029228483943,90.74631993994076
